icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
345687,ANE24JQ ,Spain,1727379685,1727379685,3.2115,39.3346,4876.8,False,196.8,44.68,0.0,[],5181.6,None,False,0
345682,TOM5LD  ,Spain,1727379683,1727379684,6.6245,51.3109,11887.2,False,268.66,120.49,0.0,[],11925.3,4652,False,0
ab13dc,N8125L  ,United States,1727379633,1727379634,-121.1539,44.5471,1371.6,False,55.07,1.61,-5.53,[],1386.84,None,False,0
a3afe1,XSR337  ,United States,1727379684,1727379685,-111.6562,41.1833,13106.4,False,226.35,193.4,0.0,[],13716.0,None,False,0
7380c1,ELY092  ,Israel,1727379683,1727379684,33.6684,37.3892,11574.78,False,215.17,240.49,-0.33,[],12199.62,None,False,0
345685,IBS3693 ,Spain,1727379684,1727379684,-4.0774,42.6029,10043.16,False,199.26,182.37,-0.33,[],10378.44,2055,False,0
a83194,N627PS  ,United States,1727379684,1727379684,-100.4896,31.3827,807.72,False,42.33,73.77,1.95,[],815.34,None,False,0
aa8a8a,TAI538  ,United States,1727379684,1727379684,-88.8728,13.9285,5212.08,False,189.95,31.15,0.33,[],5524.5,None,False,0
abac50,DAL17   ,United States,1727379683,1727379684,-82.6271,42.4515,4526.28,False,185.09,246.93,-5.2,[],4724.4,6116,False,0
a9778d,SPA709  ,United States,1727379684,1727379684,-100.0663,32.6334,10972.8,False,230.04,264.35,0.0,[],11597.64,None,False,0
a3afe8,ATN4303 ,United States,1727379684,1727379684,-76.7237,40.3752,3322.32,False,190.23,74.31,-0.33,[],3444.24,1737,False,0
abd994,SWA2112 ,United States,1727379684,1727379685,-77.1145,39.2206,3832.86,False,194.55,261.48,9.43,[],3992.88,5637,False,0
a9b43f,AAL702  ,United States,1727379679,1727379680,-77.0407,38.8542,,True,0.77,267.19,,[],,1327,False,0
78107a,CSC3883 ,China,1727379660,1727379661,114.5754,21.6345,10393.68,False,253.24,155.52,0.0,[],11132.82,None,False,0
aab99f,SKW5878 ,United States,1727379684,1727379684,-106.7428,36.881,8915.4,False,238.26,12.6,8.45,[],9448.8,None,False,0
a4000f,DAL2828 ,United States,1727379684,1727379684,-108.9456,37.9165,10363.2,False,213.73,232.14,0.33,[],10957.56,None,False,0
a2d359,SKW3779 ,United States,1727379684,1727379684,-122.4443,43.8803,9006.84,False,214.85,356.84,5.85,[],9448.8,None,False,0
a340d2,ASA654  ,United States,1727379684,1727379684,-106.727,35.187,2735.58,False,135.35,108.85,-1.63,[],2880.36,None,False,0
adff44,COBRA08 ,United States,1727379684,1727379685,-98.2494,29.5037,411.48,False,104.64,322.79,-6.83,[],381.0,None,False,0
a42680,EDV5314 ,United States,1727379685,1727379685,-84.3495,33.6238,1264.92,False,106.9,109.39,13.33,[],1226.82,None,False,0
adff42,CARD11  ,United States,1727379684,1727379685,-97.087,29.3403,4724.4,False,239.68,199.56,-5.2,[],4930.14,None,False,0
a914fb,N6844D  ,United States,1727379682,1727379682,-123.1983,43.1705,7627.62,False,128.78,177.02,0.0,[],7970.52,None,False,0
a9a117,N7199H  ,United States,1727379679,1727379679,-78.7761,38.428,1996.44,False,90.63,17.51,1.95,[],2019.3,None,False,0
ab5031,N828SP  ,United States,1727379684,1727379684,-117.5729,33.9556,1242.06,False,38.19,274.64,2.28,[],1257.3,None,False,0
e08594,JES3012 ,Argentina,1727379682,1727379682,-60.6591,-31.5636,10972.8,False,223.58,326.16,0.0,[],11292.84,1634,False,0
344344,IBE6275 ,Spain,1727379684,1727379684,-88.0967,42.0917,1691.64,False,148.68,269.6,-8.45,[],1752.6,None,False,0
a78605,DAL2742 ,United States,1727379684,1727379685,-83.8941,36.0222,11277.6,False,197.55,180.15,0.0,[],11871.96,4150,False,0
c04702,CGAXD   ,Canada,1727379684,1727379684,-72.7692,45.7553,1333.5,False,38.52,214.11,0.65,[],1325.88,None,False,0
a77f02,CXK383  ,United States,1727379685,1727379685,-97.4306,30.3057,914.4,False,70.14,192.71,0.0,[],883.92,None,False,0
a100fe,N164ER  ,United States,1727379665,1727379672,-118.492,34.2192,274.32,False,9.12,106.39,0.0,[],205.74,None,False,0
344341,AEA9172 ,Spain,1727379684,1727379684,-5.4215,38.0201,11277.6,False,211.23,216.98,0.0,[],11902.44,2611,False,0
a95d96,SKW5004 ,United States,1727379657,1727379657,-111.9983,33.4376,,True,5.66,182.81,,[],,None,False,0
ad5fea,AAL1290 ,United States,1727379683,1727379684,-94.6139,35.0721,10972.8,False,257.66,221.52,-0.33,[],11513.82,3230,False,0
a46ce1,UAL2726 ,United States,1727379684,1727379684,-88.6106,32.3644,10363.2,False,226.81,273.64,-0.33,[],10888.98,0500,False,0
7380ca,ELY316  ,Israel,1727379682,1727379684,30.1323,35.117,11887.2,False,266.8,127.4,0.0,[],12573.0,7537,False,0
ab00d6,DAL265  ,United States,1727379685,1727379685,-65.0431,44.6782,8534.4,False,224.52,232.45,0.0,[],8884.92,2552,False,0
a55979,N444A   ,United States,1727379684,1727379684,-79.3603,40.0363,7620.0,False,204.22,151.24,0.0,[],7993.38,None,False,0
151d52,UTA764  ,Russian Federation,1727379611,1727379612,47.594,42.4685,10050.78,False,205.26,0.14,0.0,[],,4103,False,0
a1a02d,N20348  ,United States,1727379555,1727379555,-95.7573,41.2748,426.72,False,42.81,355.87,-1.3,[],601.98,None,False,0
ad5fef,DAL1725 ,United States,1727379684,1727379684,-84.2171,33.7335,3398.52,False,128.11,269.08,-0.33,[],3474.72,None,False,0
aaa68a,SWA3714 ,United States,1727379684,1727379684,-79.0118,36.2027,9563.1,False,258.41,55.71,-12.03,[],10134.6,0575,False,0
a95d8f,N702SC  ,United States,1727379684,1727379684,-116.917,32.8529,640.08,False,59.22,78.98,1.95,[],609.6,1200,False,0
ae1f51,01172066,United States,1727379678,1727379678,-97.614,30.6701,601.98,False,52.36,213.38,0.98,[],594.36,None,False,0
ac7c67,EDV5288 ,United States,1727379684,1727379684,-84.1723,33.459,3398.52,False,196.66,312.24,0.0,[],3482.34,None,False,0
ac33e2,SWA3072 ,United States,1727379684,1727379685,-99.4137,31.5471,8671.56,False,229.18,157.98,-5.2,[],9189.72,6503,False,0
ad9ac9,JBU334  ,United States,1727379684,1727379684,-119.0687,38.2897,9448.8,False,236.65,79.98,0.0,[],9936.48,None,False,0
ac212e,N8807M  ,United States,1727379684,1727379684,-70.6569,43.3981,1767.84,False,58.49,230.71,-0.33,[],1821.18,None,False,0
a3f39a,N3539W  ,United States,1727379668,1727379668,-85.4632,42.8709,1043.94,False,66.59,159.18,0.98,[],1021.08,None,False,0
ac345f,CAP3686 ,United States,1727379682,1727379682,-122.9429,45.539,,True,0.0,317.81,,[],,None,False,0
aada4d,JRE799  ,United States,1727379678,1727379679,-92.4955,30.9179,4739.64,False,186.05,234.11,-10.08,[],4892.04,None,False,0
